Network1,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default,Subcortical
Vis,113,14,94,0,0,22,23,0
SomMot,14,21,84,49,0,25,1,3
DorsAttn,94,84,21,44,1,22,19,0
SalVentAttn,0,49,44,4,1,38,3,2
Limbic,0,0,1,1,0,1,1,0
Cont,22,25,22,38,1,17,57,1
Default,23,1,19,3,1,57,37,0
Subcortical,0,3,0,2,0,1,0,0
