Factor 1,Factor 2,Set Label
0.55,0.46,Ambiguous
0.26,0.35,Set A
0.39,0.24,Ambiguous
0.20,0.22,Set A
0.00,0.73,Set A
0.85,0.23,Set B
0.81,0.49,Set B
0.75,0.37,Set B
0.73,0.38,Set B
0.89,0.27,Set B
0.88,0.20,Set B
0.95,0.14,Set B
0.95,0.12,Set B
0.85,0.56,Set B
0.87,0.56,Set B
0.63,0.50,Set B
0.55,0.38,Ambiguous
0.58,0.19,Ambiguous
0.45,0.49,Ambiguous
0.55,0.36,Ambiguous
0.54,0.43,Set B
0.44,0.43,Ambiguous
0.61,0.41,Set B
0.49,0.50,Set B
0.80,0.17,Set B
0.81,0.36,Set B
0.82,0.33,Set B
0.83,0.21,Set B
0.81,0.07,Set B
0.83,0.35,Set B
0.71,0.44,Set B
0.40,0.41,Set A
0.70,0.02,Set B
0.74,0.33,Set B
0.72,0.28,Set B
0.78,0.29,Set B
0.73,0.23,Set B
0.52,0.45,Set A
0.54,0.34,Ambiguous
0.69,0.19,Set B
0.66,0.18,Set B
0.62,0.00,Ambiguous
0.63,0.00,Ambiguous
0.51,0.12,Ambiguous
0.57,0.14,Set B
0.81,0.00,Set B
0.86,0.08,Set B
0.81,0.34,Set B
0.74,0.23,Ambiguous
0.57,0.51,Ambiguous
0.64,0.36,Set B
0.36,0.52,Set A
0.50,0.44,Set A
0.39,0.51,Set A
0.45,0.43,Set A
0.52,0.70,Set A
0.51,0.54,Ambiguous
0.32,0.48,Set A
0.34,0.70,Set A
0.03,0.64,Set A
0.16,0.54,Set A
0.95,0.15,Set B
0.95,0.27,Set B
0.66,0.46,Set B
0.53,0.45,Ambiguous
0.63,0.68,Set B
0.64,0.38,Set B
0.41,0.28,Set A
0.59,0.10,Set B
0.54,0.10,Ambiguous
0.49,0.34,Ambiguous
0.61,0.47,Set B
0.42,0.53,Set A
0.62,0.16,Set B
0.61,0.29,Ambiguous
0.48,0.51,Ambiguous
0.49,0.46,Ambiguous
0.58,0.41,Ambiguous
0.43,0.34,Ambiguous
0.72,0.48,Set B
0.39,0.38,Set A
0.42,0.24,Set A
0.89,0.01,Set B
0.35,0.95,Set A
0.61,0.73,Ambiguous
0.25,0.82,Set A
0.27,0.57,Set A
0.78,0.08,Set B
0.76,0.33,Set B
0.43,0.59,Set A
0.56,0.47,Set B
0.53,0.43,Set A
0.25,0.40,Set A
0.68,0.10,Ambiguous
0.45,0.18,Set A
0.82,0.00,Set B
0.63,0.08,Ambiguous
0.43,0.39,Set A
0.91,0.30,Set B
0.82,0.41,Set B
0.60,0.33,Set B
0.73,0.31,Set B
0.65,0.30,Set B
0.75,0.43,Set B
0.39,0.31,Set A
0.42,0.45,Set A
0.55,0.32,Set B
0.58,0.35,Set B
0.38,0.22,Set A
0.38,0.24,Set A
0.57,0.28,Set A
0.53,0.29,Set A
0.80,0.33,Set B
0.69,0.34,Set B
0.41,0.50,Set A
0.22,0.84,Set A
0.52,0.31,Ambiguous
0.54,0.25,Set B
0.47,0.46,Set A
0.65,0.25,Set B
0.50,0.60,Ambiguous
0.55,0.42,Ambiguous
0.70,0.18,Set B
0.63,0.44,Set B
0.53,0.40,Ambiguous
0.59,0.27,Set B
0.51,0.21,Ambiguous
0.53,0.22,Ambiguous
0.32,0.78,Set A
0.44,0.46,Set A
0.31,0.32,Set A
0.53,0.50,Set A
0.68,0.42,Set B
0.18,0.92,Set A
0.71,0.45,Set B
0.49,0.44,Set A
0.50,0.26,Set A
0.38,0.42,Set A
0.85,0.32,Set B
0.67,0.52,Set B
0.77,0.43,Set B
0.80,0.45,Set B
0.88,0.00,Set B
0.82,0.13,Set B
0.66,0.41,Set B
0.61,0.40,Set B
0.73,0.28,Set B
0.75,0.25,Set B
0.59,0.16,Ambiguous
0.25,0.19,Set A
0.58,0.39,Set B
0.60,0.50,Set B
0.81,0.48,Set B
0.64,0.81,Set B
0.85,0.00,Set B
0.88,0.07,Set B
0.45,0.32,Set A
0.74,0.00,Set B
0.81,0.20,Set B
0.64,0.07,Set B
0.57,0.41,Ambiguous
0.59,0.41,Set B
0.47,0.58,Set A
0.50,0.61,Ambiguous
0.44,0.63,Set A
0.50,0.57,Ambiguous
0.57,0.03,Set A
0.26,0.97,Set A
0.25,0.81,Set A
0.77,0.32,Set B
0.80,0.28,Set B
0.61,0.48,Set B
0.61,0.40,Set B
0.51,0.49,Set B
0.44,0.71,Set A
0.45,0.60,Ambiguous
0.59,0.57,Set B
0.92,0.34,Set B
0.88,0.40,Set B
0.68,0.33,Set B
0.68,0.22,Set B
0.42,0.46,Ambiguous
0.74,0.42,Set B
0.61,0.49,Set B
0.46,0.58,Ambiguous
0.75,0.50,Set B
0.25,0.38,Set A
0.32,0.37,Set A
0.28,0.32,Set A
0.23,0.40,Set A
0.61,0.20,Set B
0.74,0.22,Set B
0.52,0.36,Set B
0.81,0.16,Set B
0.65,0.25,Set B
0.72,0.49,Set B
0.66,0.10,Ambiguous
0.57,0.23,Ambiguous
0.46,0.33,Set A
0.56,0.29,Set B
0.60,0.11,Ambiguous
0.68,0.30,Set B
0.62,0.57,Set B
0.96,0.37,Set B
0.60,0.51,Ambiguous
0.59,0.43,Set B
0.74,0.23,Set B
0.64,0.27,Set B
0.55,0.40,Set B
0.74,0.14,Set B
0.65,0.16,Set B
0.60,0.10,Set B
0.68,0.33,Set B
0.64,0.30,Set B
0.52,0.29,Set B
0.53,0.27,Ambiguous
