TSNE1,TSNE2,TSNE3,Set Label
-1.617,-3.050,6.437,Set A
-7.116,4.242,-1.986,Set B
-6.064,4.287,-0.632,Ambiguous
-5.042,4.834,0.027,Ambiguous
-5.784,3.178,-2.499,Set B
-0.429,6.547,2.438,Ambiguous
0.193,3.883,-5.140,Set B
-0.952,7.277,3.926,Ambiguous
0.983,4.006,-4.842,Set B
8.486,-10.822,-6.318,Set B
7.630,-10.916,-5.851,Set B
7.873,-10.016,-4.984,Set B
7.343,-6.516,-7.934,Set B
6.677,-10.279,-6.831,Set B
-0.811,-0.094,10.259,Set A
5.977,-5.823,-2.516,Set B
1.383,-1.295,-2.160,Set B
6.080,-2.437,4.034,Set B
-7.101,1.611,2.172,Ambiguous
-5.496,-9.169,4.658,Ambiguous
5.028,-12.325,-6.623,Set B
-4.592,-9.104,4.472,Ambiguous
7.965,-1.044,9.498,Ambiguous
1.713,-10.417,0.683,Set B
2.154,-10.054,0.832,Set B
3.629,-8.945,-8.320,Set B
3.684,-2.044,-13.630,Set B
4.052,3.518,2.904,Ambiguous
0.225,4.091,-0.968,Set B
1.871,-4.026,7.966,Set A
1.923,-2.698,14.601,Set A
2.397,-1.748,14.045,Set A
2.408,-2.115,13.713,Set A
2.469,-0.507,12.711,Set A
1.154,9.058,-1.890,Set B
2.929,-0.653,-11.958,Set B
0.416,0.151,0.128,Set B
-3.340,-2.906,3.427,Ambiguous
1.396,10.755,4.065,Set A
5.357,7.356,-1.900,Set B
1.839,-5.301,-11.227,Set B
5.777,-1.828,-8.932,Set B
-2.331,7.521,-8.126,Set B
-10.364,4.312,6.921,Set A
7.120,-6.603,-6.942,Set B
1.985,-2.654,-5.412,Set B
10.070,-4.860,-4.800,Set B
9.144,-6.592,-4.414,Set B
-5.578,5.723,6.607,Set A
-4.544,4.009,8.193,Set A
-4.956,6.570,6.873,Set A
-4.232,-1.746,-0.553,Ambiguous
-2.272,-5.022,6.118,Set A
7.573,-1.943,10.330,Ambiguous
-8.528,6.517,8.566,Set A
-9.744,-7.542,1.787,Ambiguous
9.189,4.323,5.564,Ambiguous
7.333,2.275,0.308,Ambiguous
4.716,3.400,10.713,Set A
5.991,-12.395,-5.942,Set B
5.911,-13.545,-5.302,Set B
6.047,-13.738,-6.271,Set B
6.888,-13.856,-5.677,Set B
-5.822,1.855,-4.990,Set B
7.119,-7.118,0.717,Set B
-1.546,4.180,-2.751,Set B
-6.123,4.219,8.374,Set A
-4.764,-2.250,-1.546,Set B
-4.482,5.922,-0.771,Set B
-2.547,11.654,0.027,Ambiguous
-1.143,-3.679,-5.328,Set B
-6.908,-5.450,4.073,Ambiguous
-0.032,9.477,-1.763,Ambiguous
1.223,-2.580,3.980,Ambiguous
0.185,1.069,-9.172,Set B
-5.846,5.765,-5.166,Set B
-3.481,4.306,-4.490,Set B
14.623,-0.370,-4.169,Ambiguous
2.533,4.259,6.457,Set A
1.663,2.561,5.628,Ambiguous
0.577,1.868,6.900,Set A
-6.769,4.419,11.469,Set A
-8.492,-7.625,-0.774,Set B
0.491,-1.997,-10.172,Set B
1.134,-4.337,-9.160,Set B
0.997,-4.175,-8.560,Set B
4.443,-4.086,-12.412,Set B
5.115,-6.207,-7.744,Set B
2.997,-7.240,-11.861,Set B
2.995,-7.706,-12.274,Set B
-1.831,5.128,-12.761,Set B
-2.376,5.191,-12.558,Set B
-1.426,3.800,-5.885,Set B
-2.587,11.600,-0.271,Ambiguous
3.212,-1.145,6.984,Ambiguous
6.302,2.335,6.254,Ambiguous
6.952,1.049,6.088,Ambiguous
9.309,8.449,-3.451,Set B
8.205,8.031,-4.102,Ambiguous
9.783,9.495,-3.844,Set B
8.758,8.726,-3.436,Set B
-7.967,2.112,-5.447,Set B
-4.768,2.819,-6.116,Set B
-5.336,0.628,-9.993,Set B
-6.264,0.214,-7.863,Set B
-2.585,-7.854,-7.539,Set B
10.002,-3.749,-7.299,Set B
-3.239,3.140,-5.570,Set B
-6.332,-3.532,10.143,Set A
-1.084,-7.855,5.321,Set B
-6.540,0.548,-10.415,Set B
-6.880,0.813,-9.555,Set B
-6.239,0.901,-8.179,Set B
-7.084,-5.834,2.703,Set B
6.278,-2.725,6.633,Set A
5.541,-2.107,5.735,Ambiguous
0.072,-2.634,-0.618,Set B
-0.144,-3.799,-0.817,Set B
-0.149,-9.442,4.755,Ambiguous
-0.186,-9.275,4.480,Ambiguous
7.691,-6.265,3.499,Ambiguous
6.285,-6.769,3.027,Set B
