Factor 1,Factor 2,Intercept,Age (younger),Age (elder),Gender (M),Gender (F)
91.82,16.25,,,,,
82.22,0.00,,,,,
0.79,79.68,,,,,
60.69,29.25,,,,,
63.39,34.17,,,,,
37.13,70.74,,,,,
29.30,52.97,,,,,
8.57,93.81,,,,,
20.54,83.31,,,,,
93.08,0.00,,,,,
80.03,22.86,,,,,
