Factor 1,Factor 2,Intercept,Age (younger),Age (elder),Gender (M),Gender (F)
,,1.70,0.32,5.61,0.48,7.72
,,9.65,0.85,13.51,0.42,1.53
,,0.00,0.88,0.00,0.48,0.89
,,0.00,0.00,9.60,0.00,3.06
,,0.00,13.38,0.00,0.40,0.00
,,0.00,0.00,8.37,0.00,0.00
,,0.00,0.00,12.28,3.84,0.00
,,0.00,4.32,1.54,1.88,3.71
,,0.00,0.00,19.83,2.32,0.00
,,7.42,1.46,5.06,1.74,0.82
,,0.00,0.00,6.26,0.00,0.00
