Images,People,Positive,Specific,Future,Past,Myself,Intrusive,Words,Surroundings,Negative
40,35,10,5,70,15,65,100,100,100,95
0,65,0,5,75,60,70,95,100,80,100
0,70,20,25,85,70,75,100,100,85,95
15,75,10,100,75,15,100,100,100,100,85
20,50,25,70,50,0,80,70,95,90,65
25,15,25,100,80,10,85,100,100,70,75
