Network1,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default,Subcortical
Vis,60,9,84,41,0,93,63,40
SomMot,9,12,59,166,0,14,0,181
DorsAttn,84,59,5,18,1,8,12,11
SalVentAttn,41,166,18,23,0,9,14,44
Limbic,0,0,1,0,0,5,2,0
Cont,93,14,8,9,5,12,89,0
Default,63,0,12,14,2,89,133,7
Subcortical,40,181,11,44,0,0,7,0
