Factor 1,Factor 2,Intercept,Age (younger),Age (elder),Gender (M),Gender (F)
0.37,0.64,,,,,
0.57,0.46,,,,,
0.60,0.52,,,,,
0.57,0.40,,,,,
0.71,0.35,,,,,
0.58,0.38,,,,,
0.55,0.51,,,,,
0.54,0.31,,,,,
0.71,0.63,,,,,
0.69,0.51,,,,,
0.65,0.47,,,,,
0.55,0.46,,,,,
0.26,0.35,,,,,
0.39,0.24,,,,,
0.20,0.22,,,,,
0.00,0.73,,,,,
0.85,0.23,,,,,
0.81,0.49,,,,,
0.75,0.37,,,,,
0.73,0.38,,,,,
0.89,0.27,,,,,
0.88,0.20,,,,,
0.95,0.14,,,,,
0.95,0.12,,,,,
0.85,0.56,,,,,
0.87,0.56,,,,,
0.63,0.50,,,,,
0.55,0.38,,,,,
0.58,0.19,,,,,
0.45,0.49,,,,,
0.55,0.36,,,,,
0.54,0.43,,,,,
0.44,0.43,,,,,
0.61,0.41,,,,,
0.49,0.50,,,,,
0.80,0.17,,,,,
0.81,0.36,,,,,
0.82,0.33,,,,,
0.83,0.21,,,,,
0.81,0.07,,,,,
0.83,0.35,,,,,
0.71,0.44,,,,,
0.40,0.41,,,,,
0.70,0.02,,,,,
0.74,0.33,,,,,
0.72,0.28,,,,,
0.78,0.29,,,,,
0.73,0.23,,,,,
0.52,0.45,,,,,
0.54,0.34,,,,,
0.69,0.19,,,,,
0.66,0.18,,,,,
0.62,0.00,,,,,
0.63,0.00,,,,,
0.51,0.12,,,,,
0.57,0.14,,,,,
0.81,0.00,,,,,
0.86,0.08,,,,,
0.81,0.34,,,,,
0.74,0.23,,,,,
0.57,0.51,,,,,
0.64,0.36,,,,,
0.36,0.52,,,,,
0.50,0.44,,,,,
0.39,0.51,,,,,
0.45,0.43,,,,,
0.52,0.70,,,,,
0.51,0.54,,,,,
0.32,0.48,,,,,
0.34,0.70,,,,,
0.03,0.64,,,,,
0.16,0.54,,,,,
0.95,0.15,,,,,
0.95,0.27,,,,,
0.66,0.46,,,,,
0.53,0.45,,,,,
0.63,0.68,,,,,
0.64,0.38,,,,,
0.41,0.28,,,,,
0.59,0.10,,,,,
0.54,0.10,,,,,
0.49,0.34,,,,,
0.61,0.47,,,,,
0.42,0.53,,,,,
0.62,0.16,,,,,
0.61,0.29,,,,,
0.48,0.51,,,,,
0.49,0.46,,,,,
0.58,0.41,,,,,
0.43,0.34,,,,,
0.72,0.48,,,,,
0.39,0.38,,,,,
0.42,0.24,,,,,
0.89,0.01,,,,,
0.35,0.95,,,,,
0.61,0.73,,,,,
0.25,0.82,,,,,
0.27,0.57,,,,,
0.78,0.08,,,,,
0.76,0.33,,,,,
0.43,0.59,,,,,
0.56,0.47,,,,,
0.53,0.43,,,,,
0.25,0.40,,,,,
0.68,0.10,,,,,
0.45,0.18,,,,,
0.82,0.00,,,,,
