Set A,Set B
0.0717367745999999,0.090026461542056
0.0941947173427674,0.062215401121643
0.0787724015053762,0.0966599541958041
0.0668731312271973,0.0926743402857141
0.0782738010344827,0.1137758507383626
0.0707108064118564,0.0653946964615383
0.0877632056162246,0.0974789913580247
0.1075037328382837,0.0740272611265431
0.1076032171900826,0.084787034668721
0.081021453642384,0.0720763667692308
0.1094330890202702,0.084524276321656
0.104174986419753,0.0821744185648147
0.1021098694915253,0.0782234766513056
0.0955337107424961,0.075513713483146
0.0988392755384616,0.0908780073170731
0.0700308088188976,0.0945982434022256
0.0926267066141731,0.078867003697997
0.0765834906249999,0.0573299268307692
0.0828558899224806,0.0713508424961479
0.1105388222380953,0.08159055484375
0.0736583794312796,0.0951449919648562
0.0910166804890387,0.0741641886292835
0.082670984784,0.0844938559689921
0.1040919681063122,0.1234539993079584
0.079881558095238,0.095802374680851
0.0779957807244093,0.0744815115132605
0.0571882859587955,0.0527817324186046
0.0533457495384615,0.1009939035534592
0.1048270293209877,0.0921306081761005
0.0880778908385094,0.0921364768971332
0.0964497704968943,0.0958911085714285
0.0545626518586789,0.09928473155416
0.0745494512461059,0.1068574281399045
0.0643919544976816,0.0906940818040436
0.0763521015384615,0.0823816896124031
0.0865430295418641,0.0601583533179012
0.0932073122483222,0.0591427209642301
0.0863183612634821,0.0606157700307219
0.0741644116253869,0.0604258129429891
0.0734706377955271,0.0789993921174652
0.0715935765391015,0.1053519433656958
0.0675475576780185,0.1055251358466453
0.0614563082683307,0.1055354766561514
0.0914657100318471,0.0799189742089094
0.0720615501866252,0.0957015654728682
0.0705994717665131,0.0688630679626749
0.0887538643788819,0.0899210066666666
0.1061316847731092,0.0680763352803738
0.0785239324923077,0.1092229424793388
0.0802274076923075,0.0733269826893354
0.1021000864976959,0.0894115430660376
0.0963524486153846,0.094326624680851
0.0730440268817204,0.0551643271582181
0.0854278004737732,0.0980784096907217
0.0676255142491467,0.0868076336851211
0.0700593027512356,0.0821096687230768
0.0907847903174603,0.070662422734255
0.0658343184590689,0.0527668713364055
0.0850717082656249,0.0828738963328196
0.0607052983024691,0.0601386315789474
0.0774058098765431,0.1029255481300813
0.0648096949614791,0.107479016305842
0.1082343877467104,0.0649057949302325
0.0844873854645669,0.091405353271028
0.1014172131124808,0.0769613722945736
0.0815044918335902,0.0808018557603686
0.0740002751152073,0.0695068244239632
0.0891665839813374,0.0905227196923076
0.0769349079134467,0.0962211743396225
0.0998972608333332,0.1028189462950257
0.0619496394695788,0.0892165255451712
0.1131290635782747,0.0835476719188767
0.104146730449827,0.0682485583076924
0.0860614082812499,0.0550988368202764
0.0928648838461538,0.0601464315384613
0.0868311506191949,0.0632893211093991
0.0890041554699536,0.0583448881888545
0.0755270343076921,0.0925235297342192
0.0883226037094281,0.0769466017432645
0.0600021702457757,0.0774692016822429
0.0973026111975116,0.0796236064714945
0.0954563121118011,0.0973381602615384
0.0835378155172415,0.1245663480737018
0.0989606887761673,0.0674285255023183
0.0806683299837925,0.0573241606451612
0.0839108435937499,0.0455719001848998
0.0931513268668831,0.0551821691846154
0.0588036788906009,0.0596064056923077
0.0719440109399075,0.0670680341474654
0.1196037392471359,0.0664679805376344
0.1014073899350649,0.0600608963076922
0.1008636979299362,0.0947846498283932
0.0821291346761453,0.0839810031897926
0.0936918855325914,0.0624929273094867
0.0942901979865771,0.0815610359550562
0.101940781788618,0.0844814958732612
0.0795232021702837,0.0792814241512345
0.0936332628881987,0.0832793698067632
0.0916195768273717,0.0785507523089171
0.0684967562596599,0.0842297865366615
0.0857757945820433,0.0764708651177394
0.080818291328125,0.0727457953004622
0.0817608122222222,0.106013735725429
0.0800058757053291,0.0849764996927803
0.0637086894736842,0.0803836937327189
0.0801607981366459,0.0477047682334869
0.0806545841049382,0.0745532235023042
0.0781321076923077,0.05704743456
0.0784213904761905,0.0692363816086235
0.0794496256528418,0.079005034537037
0.1092128426731078,0.0529059883076922
0.0435428038863287,0.0667993497054263
0.0605304763692307,0.11519108
0.0389719749462365,0.1065393927892234
0.0912891920748831,0.0768396881761006
0.107747741598695,0.094168527344992
0.0963385259259258,0.0712941563467492
0.1030892737421383,0.048639596421875
0.0822543654620461,0.0653772760759493
0.06497964704,0.0640629312562814
0.0834756838709677,0.0960935112026358
0.0850181187616099,0.1042954947986577
0.0969866689381933,0.0977463433224221
0.0652879472952087,0.0885160685805422
0.0899476590690208,0.0643832169517885
0.0588839313755795,0.0672189084664536
0.063796908172043,0.0680554006456692
,0.1033660216867469
,0.0663118591962906
,0.0829758412816455
,0.1112412742097026
,0.0633388012288786
,0.0964356069444445
,0.0882100398042415
,0.0902292289340101
,0.0901011481605351
,0.0874455348184819
,0.066245965785381
,0.0576049020278637
,0.0608844475270478
,0.064393900309119
,0.1016633197068404
,0.0872918215689382
,0.0935978690355329
,0.0623761588271604
,0.0628539929800307
,0.0539698788325652
,0.0983576168666666
,0.073945824187898
,0.081282307020202
,0.0807344565829146
,0.1047051092819615
,0.0947334543973941
,0.0768589446141479
,0.1015025009917355
,0.0713031758371736
,0.0663427891135303
,0.0871435973520249
,0.0493102134101382
,0.0775912523846154
,0.0772407582417581
,0.0708957056835637
,0.0817868695319812
,0.0681025347819314
,0.0748782633603895
,0.0679774953917051
,0.0861379704923077
,0.100029965422427
,0.0566790705990783
,0.0625504339477727
,0.0592326466513057
,0.0655707659409019
,0.0821411514683153
,0.0978698742138365
,0.0796795163076923
,0.0571007311728395
,0.0837130670278637
,0.0758359653238546
,0.0753113019087838
,0.0713699226209048
,0.0902031201628664
,0.067501504217687
,0.1090010183887041
,0.0915983116861436
,0.0950336787682334
,0.0976774636217948
,0.1079899223420646
,0.0913219639016895
,0.0772302177293934
,0.0429813502619414
,0.0882264160855783
,0.0899376876369327
,0.0642950604761904
,0.0499296121725731
,0.0659677037313432
,0.1100373600318469
,0.066272134714946
,0.1114841052791877
,0.0895770573676012
,0.0931478718027734
,0.0806632884031007
,0.1089715218152865
,0.0684837455850233
,0.1023623493650793
,0.0922742327586206
,0.1065319630744849
,0.0803668692990653
,0.0733482795813203
,0.0581887574752475
,0.0848954528753993
,0.0551585403134796
,0.1069930305379746
,0.1002784661442005
,0.1072910222940226
,0.0961668094867807
,0.0711145268075117
,0.0886118610068259
,0.0810365228395061
,0.0683158216358025
,0.0823056418461538
,0.0705555384923077
,0.0871140119815668
,0.0857626424
,0.1101910398290598
,0.0988157834196891
,0.0889441442879498
,0.0903724611801242
,0.0946555754442648
,0.0782304222910216
,0.081184938125
,0.0752767064760432
,0.0522845698617511
,0.0731637743471581
,0.0582329805837174
,0.0745704463223787
,0.0995695384094755
,0.0729351917050691
,0.0889607518945634
,0.0655705232043344
,0.0836984604395603
,0.1107018461672474
,0.0941314053712481
,0.0723797926791277
,0.0981217152658662
,0.1060137037795274
,0.0849601900772796
,0.1066794503095975
,0.0897325488226059
,0.0906510884735202
,0.1120259348031495
