-32,-42,-20
-30,-32,-18
-36,-62,-16
-24,-54,-8
-24,-72,-10
-36,-82,-16
-18,-38,-12
-46,-70,-8
-16,-86,-16
-12,-62,-4
-6,-76,-6
-24,-96,-12
-14,-44,-6
-42,-86,-4
-8,-98,-8
-14,-56,2
-46,-74,6
-4,-88,2
-24,-96,6
-14,-48,4
-8,-74,10
-18,-64,6
-40,-84,14
-10,-96,18
-2,-84,24
-12,-72,20
-26,-84,22
-32,-84,26
-16,-88,34
-12,-82,36
-22,-78,44
-50,-10,0
-56,-22,8
-36,-24,10
-38,-8,12
-36,-26,18
-58,-36,16
-40,-36,14
-48,-12,14
-60,-2,10
-48,-24,18
-62,-18,20
-60,-2,24
-62,-10,32
-54,-8,30
-54,-20,40
-52,-6,44
-48,-16,40
-8,-16,48
-40,-14,48
-48,-18,54
-48,-30,58
-38,-24,52
-8,-38,54
-4,-24,56
-4,-8,60
-36,-20,64
-30,-46,62
-32,-30,62
-30,-38,66
-24,-10,64
-20,-24,66
-8,-42,70
-4,-26,68
-14,-12,72
-18,-32,68
-18,-40,72
-12,-26,74
-44,-42,-22
-48,-56,-16
-56,-62,0
-48,-66,16
-26,-70,30
-54,-32,44
-22,-66,46
-46,-30,44
-34,-46,40
-28,-58,50
-38,-38,50
-36,-52,56
-14,-70,58
-28,-62,62
-8,-58,64
-20,-56,66
-14,-50,72
-40,-2,52
-26,0,56
-30,-8,52
-22,6,64
-50,6,26
-50,2,38
-54,-32,22
-58,-44,28
-62,-24,32
-62,-36,34
-58,-54,10
-44,6,-16
-38,2,-4
-32,24,0
-40,-14,-2
-32,18,8
-36,4,10
-44,12,2
-50,2,4
-52,8,14
-28,44,30
-6,22,32
-6,0,40
-12,-28,42
-6,10,48
-12,-42,48
-6,-48,56
-8,-2,70
-24,22,-20
-44,12,-34
-32,12,-30
-28,-74,42
-58,-42,46
-54,-50,44
-34,-62,48
-42,-52,48
-44,-42,46
-60,-48,-10
-42,48,-6
-48,36,10
-38,50,10
-28,56,12
-42,38,22
-44,20,26
-40,8,34
-36,32,38
-34,16,-8
-10,-78,46
-4,-64,52
-4,6,28
-4,-22,30
-4,28,48
-54,-2,-30
-56,-8,-14
-52,6,-12
-60,-34,-4
-52,-22,-6
-60,-12,-2
-62,-32,6
-52,-44,4
-58,-48,16
-46,-58,20
-40,-78,30
-48,-64,32
-56,-54,30
-42,-72,44
-48,-60,46
-36,22,-16
-36,36,-12
-4,56,-10
